lat,lng,cap
51.4064,12.2845,5.61
52.8192,8.7102,1.16
35.2265,25.4204,0.4
39.6364,-104.6462,2.14
37.185,129.3457,1.4
30.5067,107.4574,0.67
48.1837,21.8407,1.57
34.5988,126.7373,0.43
35.5365,115.1855,0.91
36.9585,35.3472,0.89
32.1476,106.6599,2.42
31.1481,113.8983,2.58
45.0945,10.6695,0.47
27.8087,-81.1714,0.72
33.8066,-118.3337,0.64
38.0069,113.9867,26.0
-6.0535,-36.9945,4.7
23.2699,70.6387,1.17
44.5009,-69.6844,1.73
42.3824,140.9999,1.65
-3.7125,-40.0438,1.44
34.9437,115.7202,0.42
37.5971,30.5092,3.02
44.3164,0.3891,1.39
-33.8251,18.7026,0.53
49.1316,10.0266,0.43
33.302,120.0581,1.65
14.3323,121.0821,0.53
-17.7099,-46.1824,4.48
42.8026,-72.5969,0.7
23.1578,112.9603,0.7
41.7026,12.4478,1.66
33.3943,-117.5807,3.56
44.9785,11.0813,0.67
13.9689,108.5774,0.96
22.7298,88.3369,1.17
30.9187,119.335,0.6
21.1027,74.8122,1.05
22.4931,108.4353,2.36
37.1409,37.3439,0.72
27.4185,115.2269,1.06
34.1874,-117.3269,0.7
30.0441,120.7785,0.84
33.6627,-117.757,0.64
39.6481,22.5973,1.04
25.5209,101.7979,0.72
37.0112,36.1122,1.25
36.1998,116.5533,2.37
35.7247,140.4507,1.85
25.0664,118.4962,1.44
31.6466,119.967,1.91
42.1622,-0.2766,0.69
-14.3851,-42.0353,5.13
39.6943,34.4009,0.53
44.4346,12.0673,0.36
-23.3027,-47.496,1.01
43.3348,129.6587,3.86
2.6786,101.8804,0.68
26.635,101.4161,7.92
23.0305,114.0533,0.68
12.1302,79.16,0.83
13.6024,108.1866,2.89
38.7058,-0.9505,14.09
25.9417,99.4977,0.71
34.2103,-118.9247,0.47
33.8758,-117.5943,0.51
31.1212,117.0109,1.12
21.7598,108.8387,7.02
32.0313,36.0778,0.74
24.7804,125.375,0.9
12.8731,108.0631,1.52
33.609,-112.1669,3.07
-18.3267,130.6295,0.87
37.6345,100.4027,37.57
48.9822,17.4617,3.62
48.8034,17.027,2.13
47.0506,16.0958,1.28
37.0116,-120.5909,0.3
34.0727,112.7304,0.45
35.4487,128.1355,6.56
42.3082,11.974,4.56
37.1933,37.3307,0.69
37.7102,-1.4553,2.7
34.9358,136.1751,1.29
54.0286,-1.1699,0.63
59.3028,25.1703,0.32
18.2276,-78.1049,32.42
40.1627,-86.1718,2.28
41.2893,13.0622,2.26
32.6028,118.826,1.13
36.7205,-108.2146,2.51
35.9878,127.1574,0.79
10.3031,78.04,3.12
28.5254,121.4628,7.12
-20.2392,20.8109,0.8
0.7417,121.2849,1.06
24.2911,98.6709,2.76
35.9373,128.2451,0.38
53.1857,8.6951,0.36
33.2079,116.179,0.34
25.0758,75.0636,4.07
34.1062,108.1731,0.81
41.2349,-86.268,1.08
48.7695,12.8234,5.05
38.1139,115.5403,4.78
13.4544,101.134,6.34
24.6373,112.5314,1.51
32.1597,115.8906,0.31
39.3067,22.5609,0.6
35.17,113.3016,1.9
